point_id,x_utm34n,y_utm34n
ME_81,505140,6143740
ME_82,505180,6143740
ME_176,499540,6127580
ME_187,499540,6127540
ME_80,505100,6143740
ME_178,499620,6127580
ME_168,499580,6127620
ME_175,499500,6127580
ME_177,499580,6127580
ME_179,499660,6127580
ME_186,499500,6127540
ME_188,499580,6127540
ME_83,505220,6143740
ME_52,504860,6143780
ME_63,505300,6143780
ME_169,499620,6127620
ME_180,499700,6127580
ME_109,505380,6143700
ME_110,505420,6143700
ME_170,499660,6127620
ME_189,499620,6127540
ME_190,499660,6127540
ME_64,505340,6143780
ME_69,505540,6143780
ME_87,505380,6143740
ME_88,505420,6143740
ME_89,505460,6143740
ME_65,505380,6143780
ME_76,504940,6143740
ME_77,504980,6143740
ME_90,505500,6143740
ME_107,505300,6143700
ME_108,505340,6143700
ME_111,505460,6143700
ME_171,499700,6127620
ME_66,505420,6143780
ME_68,505500,6143780
ME_84,505260,6143740
ME_86,505340,6143740
ME_104,505180,6143700
ME_200,499420,6127500
ME_62,505260,6143780
ME_67,505460,6143780
ME_75,504900,6143740
ME_105,505220,6143700
ME_127,505260,6143660
ME_132,505460,6143660
ME_199,499380,6127500
ME_203,499540,6127500
ME_318,498740,6126220
ME_319,498780,6126220
ME_320,498820,6126220
ME_328,498780,6126180
ME_329,498820,6126180
ME_70,505580,6143780
ME_85,505300,6143740
ME_91,505540,6143740
ME_102,505100,6143700
ME_103,505140,6143700
ME_124,505140,6143660
ME_126,505220,6143660
ME_143,505260,6143620
ME_144,505300,6143620
ME_181,499740,6127580
ME_191,499700,6127540
ME_201,499460,6127500
ME_205,499620,6127500
ME_275,499940,6127300
ME_330,498860,6126180
ME_61,505220,6143780
ME_92,505580,6143740
ME_101,505060,6143700
ME_106,505260,6143700
ME_112,505500,6143700
ME_113,505540,6143700
ME_122,505060,6143660
ME_123,505100,6143660
ME_128,505300,6143660
ME_131,505420,6143660
ME_133,505500,6143660
ME_17,505100,6143860
ME_182,499780,6127580
ME_198,499340,6127500
ME_202,499500,6127500
ME_204,499580,6127500
ME_206,499660,6127500
ME_213,499260,6127460
ME_214,499300,6127460
ME_215,499340,6127460
ME_216,499380,6127460
ME_254,499740,6127380
ME_255,499780,6127380
ME_261,499700,6127340
ME_262,499740,6127340
ME_263,499780,6127340
ME_301,499100,6126300
ME_313,499060,6126260
ME_314,499100,6126260
ME_316,498660,6126220
ME_325,499020,6126220
ME_326,499060,6126220
ME_327,499100,6126220
ME_331,498940,6126180
ME_332,498980,6126180
ME_333,499020,6126180
ME_334,499060,6126180
ME_336,498980,6126140
ME_337,499020,6126140
ME_338,499060,6126140
ME_34,504980,6143820
ME_35,505020,6143820
ME_36,505060,6143820
ME_37,505100,6143820
ME_39,505180,6143820
ME_56,505020,6143780
ME_57,505060,6143780
ME_60,505180,6143780
ME_79,505060,6143740
