Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1_060471_IW2_20181209T162018_VV_3284-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20181209T162004_20181209T162031_024951_02BFEF_3284/IW2/VV/5.tiff,S1_060471_IW2_20190225T161935_VV_3762-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190225T161918_20190225T161941_015105_01C3BC_3762/IW2/VV/6.tiff,139,78
S1_060471_IW2_20201222T162031_VV_78D8-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20201222T162016_20201222T162043_035801_0430E1_78D8/IW2/VV/5.tiff,S1_060471_IW2_20210304T162028_VV_0663-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210304T162013_20210304T162041_036851_045566_0663/IW2/VV/5.tiff,0,72
S1_060471_IW2_20170301T162003_VV_E396-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170301T161948_20170301T162015_015501_019761_E396/IW2/VV/5.tiff,S1_060471_IW2_20170605T162007_VV_5A2A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170605T161952_20170605T162019_016901_01C1E5_5A2A/IW2/VV/5.tiff,69,96
S1_060471_IW2_20170605T162007_VV_5A2A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170605T161952_20170605T162019_016901_01C1E5_5A2A/IW2/VV/5.tiff,S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,51,90
S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,44,96
S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,13,108
S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,S1_060471_IW2_20180612T162014_VV_2BE3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180612T161959_20180612T162026_022326_026AAD_2BE3/IW2/VV/5.tiff,38,78
S1_060471_IW2_20180612T162014_VV_2BE3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180612T161959_20180612T162026_022326_026AAD_2BE3/IW2/VV/5.tiff,S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,17,90
S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,S1_060471_IW2_20181203T161937_VV_292D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181203T161920_20181203T161944_013880_019BC4_292D/IW2/VV/6.tiff,17,84
S1_060471_IW2_20181203T161937_VV_292D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181203T161920_20181203T161944_013880_019BC4_292D/IW2/VV/6.tiff,S1_060471_IW2_20190303T162016_VV_326F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190303T162002_20190303T162029_026176_02EC0E_326F/IW2/VV/5.tiff,36,90
